,Value,Year,Month
0,28.0,1.0,0.0
1,40.0,1.0,0.09090909090909091
2,27.0,1.0,0.1818181818181818
3,26.0,1.0,0.2727272727272727
4,40.0,1.0,0.36363636363636365
5,49.0,1.0,0.4545454545454545
6,58.0,1.0,0.5454545454545454
7,46.0,1.0,0.6363636363636364
8,46.0,1.0,0.7272727272727273
9,34.0,1.0,0.8181818181818182
10,23.0,1.0,0.9090909090909091
11,13.0,1.0,0.9999999999999999
12,22.0,0.9500000000000001,0.0
13,28.0,0.9500000000000001,0.09090909090909091
14,34.0,0.9500000000000001,0.1818181818181818
15,36.0,0.9500000000000001,0.2727272727272727
16,39.0,0.9500000000000001,0.36363636363636365
17,40.0,0.9500000000000001,0.4545454545454545
18,48.0,0.9500000000000001,0.5454545454545454
19,31.0,0.9500000000000001,0.6363636363636364
20,47.0,0.9500000000000001,0.7272727272727273
21,45.0,0.9500000000000001,0.8181818181818182
22,29.0,0.9500000000000001,0.9090909090909091
23,35.0,0.9500000000000001,0.9999999999999999
24,22.0,0.9,0.0
25,24.0,0.9,0.09090909090909091
26,32.0,0.9,0.1818181818181818
27,25.0,0.9,0.2727272727272727
28,34.0,0.9,0.36363636363636365
29,39.0,0.9,0.4545454545454545
30,51.0,0.9,0.5454545454545454
31,40.0,0.9,0.6363636363636364
32,36.0,0.9,0.7272727272727273
33,43.0,0.9,0.8181818181818182
34,31.0,0.9,0.9090909090909091
35,21.0,0.9,0.9999999999999999
36,19.0,0.8500000000000001,0.0
37,22.0,0.8500000000000001,0.09090909090909091
38,36.0,0.8500000000000001,0.1818181818181818
39,26.0,0.8500000000000001,0.2727272727272727
40,29.0,0.8500000000000001,0.36363636363636365
41,41.0,0.8500000000000001,0.4545454545454545
42,52.0,0.8500000000000001,0.5454545454545454
43,30.0,0.8500000000000001,0.6363636363636364
44,47.0,0.8500000000000001,0.7272727272727273
45,32.0,0.8500000000000001,0.8181818181818182
46,33.0,0.8500000000000001,0.9090909090909091
47,42.0,0.8500000000000001,0.9999999999999999
48,21.0,0.8,0.0
49,10.0,0.8,0.09090909090909091
50,20.0,0.8,0.1818181818181818
